"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Ейвальдівна","F","Эйвальдовны","Эйвальдовне","Эйвальдовны","Эйвальдовной","Эйвальдовне"
"Ейнарович","M","Эйнаровича","Эйнаровичу","Эйнаровича","Эйнаровичем","Эйнаровиче"
"Екремівна","F","Экремовны","Экремовне","Экремовны","Экремовной","Экремовне"
"Екубжонович","M","","","","",""
"Екубжоновна","F","","","","",""
"Елемірович","M","Элемировича","Элемировичу","Элемировича","Элемировичем","Элемировиче"
"Елемірівна","F","Элемировны","Элемировне","Элемировны","Элемировной","Элемировне"
"Елерович","M","Элеровича","Элеровичу","Элеровича","Элеровичем","Элеровиче"
"Елеханович","M","Элехановича","Элехановичу","Элехановича","Элехановичем","Элехановиче"
"Елиандович","M","","","","",""
"Елиандовна","F","","","","",""
"Елисеевич","M","","","","",""
"Елисеевна","F","","","","",""
"Елтіфатович","M","Элтифатовича","Элтифатовичу","Элтифатовича","Элтифатовичем","Элтифатовиче"
"Ельбрусович","M","Эльбрусовича","Эльбрусовичу","Эльбрусовича","Эльбрусовичем","Эльбрусовиче"
"Ельбрусівна","F","Эльбрусовны","Эльбрусовне","Эльбрусовны","Эльбрусовной","Эльбрусовне"
"Ельвірович","M","Эльвировича","Эльвировичу","Эльвировича","Эльвировичем","Эльвировиче"
"Ельдарович","M","Эльдаровича","Эльдаровичу","Эльдаровича","Эльдаровичем","Эльдаровиче"
"Ельдарівна","F","Эльдаровны","Эльдаровне","Эльдаровны","Эльдаровной","Эльдаровне"
"Ельманівна","F","Ельмановны","Ельмановне","Ельмановны","Ельмановной","Ельмановне"
"Ельмарівна","F","Эльмаровны","Эльмаровне","Эльмаровны","Эльмаровной","Эльмаровне"
"Ельміївна","F","Эльмиевны","Эльмиевне","Эльмиевны","Эльмиевной","Эльмиевне"
"Ельович","M","Эльевича","Эльевичу","Эльевича","Эльевичем","Эльевиче"
"Ельханович","M","Эльхановича","Эльхановичу","Эльхановича","Эльхановичем","Эльхановиче"
"Ельханівна","F","Эльхановны","Эльхановне","Эльхановны","Эльхановной","Эльхановне"
"Ельчинович","M","Эльчиновича","Эльчиновичу","Эльчиновича","Эльчиновичем","Эльчиновиче"
"Ельчинівна","F","Эльчиновны","Эльчиновне","Эльчиновны","Эльчиновной","Эльчиновне"
"Еліадович","M","Элиадовича","Элиадовичу","Элиадовича","Элиадовичем","Элиадовиче"
"Еліз Огли","M","Элиз Оглы","Элиз Оглы","Элиз Оглы","Элиз Оглы","Элиз Оглы"
"Елізбарович","M","Элизбаровича","Элизбаровичу","Элизбаровича","Элизбаровичем","Элизбаровиче"
"Еліксівна","F","Эликсовны","Эликсовне","Эликсовны","Эликсовной","Эликсовне"
